Questions,Answers,Category
"What is the interest rate on credit card transactions?
","Credit card interest is generally known as Annual Interest Rate or finance charges on credit cards, it is a charge or interest that card providers count for lending money to their customers. The interest is charged only when you carry an outstanding amount or when you have taken a cash advance. It is a fixed rate so it never varies from customer to customer. But it can increase periodically.",Interest & APR
What is the minimum earning required for applying for a Credit Card?,"Your annual or monthly income is a part of the required credit card eligibility criteria. A steady and good income increases the chances of approval. However, there are some credit cards that you can get with a low income, analysing the market it can be said that with a minimum monthly income of Rs.15,000 you can get a credit card.",Gen Info
How to convert credit card bill into emi,"emi on credit card is one of the most popular features of a credit card. It allows you to purchase a product in easy monthly installments. You can convert your purchase into EMI very easily. You can either convert it into EMI at the time of purchase. Also, you can always convert your purchase into EMI through Net banking, just log in to your net banking account and select that particular purchase, and you will get an option to convert it into EMI.","Bills,Statement & Limit"
What is the relation between the Credit Card and CIBIL score?,"CIBIL scores are a three-digit number, set by a financial company named TransUnion CIBIL, it shows your nature as a creditor. It ranges between 300 to 900, any credit score above 750 is a good CIBIL score. Credit score comes into play when you apply for a loan or credit card, it helps you to get a big loan amount or a credit card with a higher credit limit. It also plays a major role in determining how much credit card limit you should get. There are some factors that play a major role in determining your credit score.",Score & Report
"What is the rate of interest on credit card on credit card cash withdrawal?
","Cash withdrawal is an additional feature offered by some card providers, with this feature you can withdraw cash against your credit card cash withdrawal limit, as a loan, and after a certain period, you have to pay it back with applicable interests and other charges. The interest rate and other credit card charges may vary from card to card.",Interest & APR
"What are the advantages and disadvantages of credit card?
","Credit cards are best known for their benefits, but just like other financial tools credit cards also have some disadvantages. With proper and responsible use you can minimize your losses and maximize your benefits. There is a list of Pros and Cons given below, that should help you to weigh the advantages and disadvantages of a credit card.",Gen Info
How to get a credit card for the first time without any CIBIL score?,"CIBIL score is very important while applying for a credit card, it says your eligibility to get a credit card, depending on your CIBIL score the card provider sets your credit score. But you can get a credit card without a credit score. Some credit cards do not need a credit score, they are",Score & Report
Can I pay my credit card bill in cash ?,"Credit card bills can be paid with a number of options like Net Banking, Paytm, Cred, Amazon pay, etc. But if you are not comfortable with online payments, then you can pay your bills offline by Cheque, Demand draft, or cash, although some Card providers do not allow their customers to pay in cash. To pay your card bill in cash you just have to visit your nearest branch. You will also have to pay the applicable GST with your bill amount.","Bills,Statement & Limit"
What to do and what not to do with a credit card?,If you are a credit card user then you must know what to do and what not to do with a credit card. There are some dos and Don’ts is given below that can help you to use your credit card properly.,Queries
What are the charges of a credit card ?,"A credit card is a very helpful financial tool, and proper use of it can earn you unmatched benefits and features. credit cards are not completely free of cost, there are several credit card fees every cardholder must pay. The card user needs to remember that you have to pay monthly or annually.",Charges & Fees
What is a credit cycle or,"The credit cycle is the period between two bill generations, it ranges between 28 to 30 days, and it depends on your card provider and the type of card you are using. All transactions made with your credit card during the credit cycle will be reflected on the statement that you will get at the end of the credit cycle. Any other credit card transaction that you have made after bill generation will be added to your next statement. After the bill generation, you will get 20 to 25 days to pay off your bills. And the last date of bill payment is called the due date. You can find information about your credit card billing cycle, due date or billing date, etc. in your monthly statement, you can also call the customer service of your card provider and ask them for the information.","Bills,Statement & Limit"
"What is the difference between Visa, MasterCard, Discover, and American Express Credit Card?","Visa, MasterCard, Discover, and American are all Card Networks, whenever you use a credit card they facilitate your credit card transaction, technically there is no difference among them, all four of them are American companies. But they are different from each other according to their acceptance and ability to issue cards.",Queries
What is the Grace Period?,"A grace period is an extra time that the card providers offer their customers to pay off their bills. It is the time between the bill generation date and the last date of bill payment, during a grace period you will not be charged any interest, the time may vary depending on the card provider and the card type.","Bills,Statement & Limit"
"What is credit card insurance and how to use it?
","Credit card insurance or balance protection insurance covers the customers during a rough time, it pays off the card bill in case the cardholder is disabled, hospitalized, unemployed, or dead. However, the insurance company is not liable to pay the bills that you have made after the disability takes upon you.",Queries
How to make your card secure?,"Nowadays hacks and frauds have become a part of life. Although most credit card providers have updated their system with credit card fraud detection systems, bad things can happen at any time. Therefore, every cardholder needs to know how to make your card more secure. Even if you have not experienced such things till now, it is wise to keep yourself prepared for such situations. Some tips can help you –","Fraud,Loss,Theft & Disputes"
How to report a card in case of loss or theft?,"Credit cards are among the things that anyone hates to lose, it is not only that lost credit cards create a lot of troubles, but also a lost credit card can hurt you financially if your credit limit on the lost card is very high. Therefore every cardholder should know what to do if something happens to them.","Fraud,Loss,Theft & Disputes"
How to file a dispute? ,"Credit cardholder has the right to file a dispute, even if the transaction is already done, there are three main reasons when a customer can file a dispute – Fraudulent Charges, Bad service, Error of Billing, for frauds, there are no time limits, you can claim whenever you realize it, but in billing and service-related cases, you have to file the dispute within 60 days.","Fraud,Loss,Theft & Disputes"
How to contact a credit card customer care?,"Every card provider has their customer care service to help their customers, if you are facing any problem with your credit card, you call customer care anytime for help. You can get help from them in several situations like – Lost cards, payment issues, or any kind of problems related to your credit card. You can just call them, or you can mail them from your registered mail Id. You can find the contact details on the back of the card or in your monthly statements. You can also visit our credit card customer care page. You will find the contact details of your card provider there.",Bank & Customer Care
What to do if the Card and Co. are not hearing your voice? or,"Every credit card provider has its own experienced customer service team to help its customer with any problems. Although the customer service authority sometimes fails to satisfy us with their service, in such situation you can contact the higher authority, you can follow the steps",Bank & Customer Care
What parameters are evaluated for the CIBIL score/,"CIBIL Score is a three-digit number that shows the creditworthiness of a customer, the credit score is issued by the credit bureau named TransUnion CIBIL. CIBIL score ranges between 300 to 900, and any CIBIL score above 750 is treated as a good CIBIL score.",Score & Report
What is Payment History?,"Payment history is the record of your repayments, it contains all the details of your missed, delayed, and on-time payments, payments history helps to build your creditworthiness, while applying for a loan, creditors also send their customer’s payment history to the credit bureaus, and they determine your credit score depending on it.","Bills,Statement & Limit"
What is the ‘New Lines’ of credit?,"A line of credit is a special type of loan where the customer can borrow money against a pre-approved limit set by the financial institution. There is a difference between normal loans and a line of credit, in normal loans, you will get the entire loan amount in your hand, with loan approval, and you have to pay interest for the total loan amount. But in line of credit, you can make withdrawals according to your needs, within the approved limit, and you have to pay interest only for the amount that you have used. The credit card is an example of a line of credit, but unlike a credit card, there is no interest-free or grace period in line of credit, the creditor will start calculating the interest from the day you make a withdrawal.",Queries
How credit cards can affect our credit score?,"A credit card is a very helpful financial tool that can improve your CIBIL score, but if used irresponsibly it can affect your credit score more than anything else. The credit score is a very important number in finance. It shows your worthiness, a higher credit score can help you to get a big and easy loan approval or a credit card with a high credit limit. Therefore, it is important to know how a credit card can impact your credit score.",Score & Report
What is a co-branded Credit Card?,"Co-branded credit cards are like normal credit cards, but they bear both the card provider’s name and the merchant’s name, with whom the card provider has made a partnership. With these cards, you can earn big benefits including cash backs, reward points, gift vouchers, etc.",Queries
How do the new EMV chip and the PIN system for the card work?,"An EMV chip is a squire golden microchip that nowadays comes with almost every credit card. EMV chip and PIN system is a new technology that offers a new level of protection to your transaction. Unlike previously used magnetic stripe cards, the EMV chip generates some unique information for each transaction, and it makes it harder for hackers to hack the card.",PIN
What is the CVV number?,"CVV number is a three or four-digit number that comes with every credit card, it acts as a verification number. In most credit cards, you can find the number just beside the space where you have to sign the card. But in American Express credit cards the number is printed in front of the card, and it is a four digits number.",Gen Info
What is add on credit card,"A supplementary or add on credit card is a secondary credit card that can be issued against a primary credit card, with a part of the primary card’s credit limit, and with the same benefits as the primary credit card. Card providers allow their customers to issue add-on cards for their family members of at least 18 years.",Queries
How do I find the Credit Card due amount? ,"The credit card due amount is the amount that you have to pay to your card provider. It is the total sum that you have spent with your credit card, and if you want to avoid interest, you should pay the due amount within the due date. There are many ways to check credit card balance they are discussed below:","Bills,Statement & Limit"
What are finance charges in credit card,"The finance charges in credit card are the charge that the card providers impose on their customers for borrowing money, but it is not applicable for every customer, only those who missed a payment, have a previous due in their account, or just have paid the credit card minimum due payment, are liable to pay the finance charge for their outstanding balance.",Charges & Fees
"What do the terms credit card billing cycle/date mean and are they subject to change?
","The billing date or billing cycle is the period between two billing dates. The time period may vary from card to card, however, it ranges from around 28 to 30 days. During a billing cycle, you make purchases with your credit card, and at the end of the billing cycle, you will get a bill that says the total amount you have to pay the card provider. And the billing date is the last day of your billing cycle when your bill is generated. Now the question is how to know credit card billing date? You can find your billing date in your card statement.","Bills,Statement & Limit"
"What is the minimum amount due in credit card bills?
","The minimum due in credit card means the minimum amount of payment that you have to make towards your credit card bill within your due date to avoid late payment charges. Normally it is around 5% of your total bill amount, though it may vary. Paying the minimum due amount can save you from credit card late payment charges or getting flagged as a defaulter. But if you just pay the minimum due amount, you still have to pay interest for the rest of the due amount, although, if you stop using your credit card, the due amount will increase day by day because of the high credit card interest rate. And if it continues for a few months or so, you will be in great financial trouble.","Bills,Statement & Limit"
What happens if we pay minimum due on credit card,"When you pay the minimum due in credit card bill, only a small portion of your bill amount gets paid, but you will have to pay for the unpaid amount, even if you stop using your card, your due amount will increase day by day. There will be no interest-free period and if it continues, you will soon find yourself in a debt trap.","Bills,Statement & Limit"
What is a foreign currency transaction mark-up?,"Credit cards are globally accepted, but to make a credit card transaction at an outlet outside your country, you have to pay a charge for the currency conversion, this charge is called the foreign currency conversion mark-up. It is also applicable when you shop at any foreign website with your credit card. Normally the charge ranges around 3%, but it may vary from card to card. If you often travel internationally, then try to choose a credit card with a low foreign currency transaction charge.",Queries
What is Credit Card Balance Transfer?,"credit card balance transfer is the feature that allows you to transfer the outstanding balance of a credit card to another credit card, to avail a lower interest rate on credit card dues. When you transfer the balance, the second card, to which the balance is transferred, pays the bill for you. You also have to pay a processing fee for it, although some credit cards come with zero processing fee plus a certain interest-free period. A balance transfer can be beneficial, it can help you to get a lower interest rate against your dues.",Interest & APR
Is there any limit on the total balance I can transfer via Credit Card balance transfer?,"Technically there is no limit on credit card balance transfer, but you can transfer an amount that is less than or equal to the total credit limit of the card in which the fund is transferred. For instance, you have a credit card with a total credit limit of Rs. 60,000, so you can only transfer a balance to this card that is less than or equal to Rs. 60,000.","Bills,Statement & Limit"
"What happens if I want to prepay my credit card emi?
","Prepayment is a financial term that means, paying off a due or EMI before its due date. Prepayment can save a lot of interest, but it depends on when or how much amount you have prepaid. When you make a prepayment, the principal amount gets reduced by the paid amount, and if the paid amount is big enough, your total payable interest amount will decrease a lot. Also if you can make a full prepayment, you can save a huge amount of interest. Although, in a fixed-rate loan, repayment can cause a penalty, so before making a prepayment, make sure it is not a fixed-rate loan.","Bills,Statement & Limit"
What does zero lost card liability mean?,"Zero lost card liability is a feature which nowadays most cards come with, it gives the cardholders complete coverage against lost/stolen cards or any kind of frauds, now laws have also limited the liability of the cardholder. But to avail complete coverage against frauds, the cardholder needs to inform the card provider about it within 2 to 3 working days.","Fraud,Loss,Theft & Disputes"
What is revolving credit?,"Revolving credit is a loan facility, where you can borrow within a fixed limit, for a certain period, and after paying the borrowed amount completely or partially, you can borrow again. The amount is set by the creditor, according to your eligibility. Suppose you have a revolving credit account with a credit limit of Rs. 80,000. Now you have taken a loan of Rs. 40000 against the limit, which means you have Rs. 40000 limit left in your account and you can take a loan against it anytime you want.",Queries
What is a chargeback?,"A chargeback is like a refund. When a cardholder successfully wins a dispute the card provider or the bank removes the disputed charge, and this process is called the chargeback. Several situations that can cause these payment disputes are – Fraud, Online shopping issues, suspicious transactions, etc. The chargeback process may be very long; it contains several steps and sometimes it can take up to 90 days to show any result. And the chargeback is the sign of your victory.","Fraud,Loss,Theft & Disputes"
How to activate online transactions on a Credit Card?,"If you are not able to use your credit card for online payments that mean online transactions on this card have been turned off. This is because of the new regulation of RBI, but you can turn it on very simply with your mobile or laptop. The process of activating the online transaction on your credit card is simple. Just log on to your Net Banking account and then go to the card section, here you will find the credit card tab. In the credit card section, you will find the online transaction option, just turn it on and you are ready to go.",online
How to activate credit cards,"Sometimes international transactions on credit cards are turned off, but that does not mean that you cannot use your card for international transactions, you just have to turn on the international transaction manually. To do so, log in to your net banking account, then go to the credit card section and select the request option, then you will find the international or domestic option, click on the international option and you are set.",Gen Info
How can I report a lost or stolen card and get a replacement?,"
            
             To report a lost or stolen card, please immediately call 1-800-782-0279. Customer Service Representatives are available at this line 24/7.
                         
            ","Fraud,Loss,Theft & Disputes"
"How can I get a replacement card, if my card is worn out or not working properly?","
            
             To order a replacement card, if your card is worn out or not working properly you can call a Customer Service Professional at 1-800-972-3030 or visit your nearest branch.
                         
            ",Queries
How can I dispute a charge on my credit card?,"
            
             If you are disputing any transactions on your monthly statement, please call our Disputes Resolution Department at 1-877-833-6197 select the appropriate product Checking, Savings or Card and select anything else and then the Disputes Option. Our Customer Service Professionals are available to assist you Monday through Friday, 7 AM to 8 PM (EST), Saturday 8:30 AM to 5 PM (EST).
                         
            ","Fraud,Loss,Theft & Disputes"
What do I need to submit a dispute on my credit card?,"
            
             You should have the transaction information readily available, along with the reason for your dispute. Additional information may be requested to assist in the dispute process such as any associated receipts or billing information.
                         
            ","Fraud,Loss,Theft & Disputes"
How can I check the status of a dispute previously submitted?,"
            
             Call 1-877-833-6197 select the appropriate product Checking, Savings or Card and select anything else and then the Disputes Option. Our Customer Service Professionals are available to assist you Monday through Friday, 7 AM to 8 PM (EST), Saturday 8:30 AM to 5 PM (EST).
                         
            ","Fraud,Loss,Theft & Disputes"
How do I activate my new credit card?,"
            
             You can easily activate your credit card online or by calling 1-800-621-2554.
                         
            ",Gen Info
There are unauthorized transactions with my credit card. Who do I contact?,"
            
             Please call our Disputes Resolution Department at 1-877-833-6197 and select the appropriate product: Checking, Savings or Card, and then the Disputes Option. Our Customer Service Professionals are available to assist you Monday through Friday, 7 AM to 8 PM (EST), Saturday 8:30 AM to 5 PM (EST).
                         
            ","Fraud,Loss,Theft & Disputes"
What are my options if I cannot pay my credit card?,"
            
             If you or someone you know cannot make their credit card payment we have programs available. To learn more about our hardship programs please call 877-366-5520.
                         
            ","Bills,Statement & Limit"
Can I make partial payments?,"
            
             There are better options. Rather than making a partial payment call us to see which program you may qualify for. We have solutions and we are here to help.
                         
            ","Bills,Statement & Limit"
If I am already currently enrolled in a consumer credit company can I still qualify for a hardship program?,"
            
             If you are currently enrolled in a consumer credit company then you would need to drop us from that program to qualify for one of our hardship programs.
                         
            ",Bank & Customer Care
Will collection efforts stop once on a program?,"
            
             Future collections efforts will continue until the account is brought current. However, signing up for a program today can reduce or eliminate collections efforts.
                         
            ",Bank & Customer Care
Can I qualify for a hardship program if I am unemployed?,"
            
             Every customer with a desire to continue making payment will be considered for hardship program.
                         
            ",Bank & Customer Care
What is a compromised card?,"
            
             A compromised card is a card that is at risk of being used fraudulently. Cards may be compromised due to any type of suspicious activity, including: skimming, computer theft, unauthorized network intrusion, or any other type of suspicious activity.
                         
            ","Fraud,Loss,Theft & Disputes"
Why are you reissuing my compromised card?,"
            
             Fifth Third Bank takes every compromise seriously and issues replacement cards for affected customers. As part of their routine practice, MasterCard (or VISA) communicates with Fifth Third about data compromises that occurred. Your card account has been identified as having a high likelihood for fraudulent activity. To protect your card and account, we have elected to reissue you your card.
                         
            ","Fraud,Loss,Theft & Disputes"
What if I do not want to have my current card replaced?,"
            
             Compromises are serious. Fraudulent activity may occur if the card in not replaced. The fraud dispute process can be more inconvenient to customers than simply having a card replaced. While many customers do not experience fraud when a compromise is reported, the risk of exposure still exists if the cards are not replaced. To protect our customers, minimize inconvenience and losses, Fifth Third Bank requires compromised cards to be replaced.
                         
            ","Fraud,Loss,Theft & Disputes"
Does receiving a replacement card for my compromised account mean that I have fraud on my compromised account?,"
            
             Compromises are serious. Fraudulent activity may occur if the card in not replaced. The fraud dispute process can be more inconvenient to customers than simply having a card replaced. While many customers do not experience fraud when a compromise is reported, the risk of exposure still exists if the cards are not replaced. To protect our customers, minimize inconvenience and losses, Fifth Third Bank requires compromised cards to be replaced.
                         
            ","Fraud,Loss,Theft & Disputes"
What if I have recurring payments with merchants made to my compromised card number?,"
            
             You should contact the merchant(s) immediately upon receipt of your replacement card(s) and provide them with the new card number and expiration date. This process may be as simple as logging into the corresponding merchant(s) site and updating the information yourself.
                         
            ","Fraud,Loss,Theft & Disputes"
What do I need to do if I discover fraud on my account?,"
            
             If you discover fraud on your account, please call our Disputes Resolution Department at 1-877-833-6197 select the appropriate product Checking, Savings or Card and select anything else and then the Disputes Option. Our Customer Service Professionals are available to assist you Monday through Friday, 7 AM to 8 PM (EST), Saturday 8:30 AM to 5 PM (EST).
                         
            ","Fraud,Loss,Theft & Disputes"
What is the difference between the previous business day balance and the available balance?,"
            
             Your previous business day balance consists of all transactions that have posted to your account. Available balance reflects funds in your account available for immediate use. Pending transactions which have not yet posted to your account may affect your available balance.
                         
            ","Bills,Statement & Limit"
Why is there a one dollar transaction on my account?,"
            
             Some merchants will pre-authorize a debit or credit card to ensure that it is a valid and active account, essentially placing a $1 hold on your account. The pre-authorization amount will remain until the merchant submits the actual amount of the transaction for payment and it posts to your account. Once the payment posts, the $1 pre-authorization will come off your account. This process typically takes 2-3 business days.
                         
            ","Bills,Statement & Limit"
When will I receive my new chip card?,"
            
             Chip cards will be issued prior to card expiration or at customer request. If you would like a new chip card now, please call Customer Service at 1-800-972-3030.
                         
            ",Queries
"What is a ""chip card""?","
            
             Chip cards are payment cards (credit and debit) that have an embedded microchip. Chip cards offer advanced security when making purchases in-store at chip terminals. If you have a chip card, the chip is located on the front of the card. Your card also contains a magnetic stripe on the back to swipe at terminals that have not converted to chip.
                         
            ",Queries
Why are chip card transactions more secure?,"
            
             Chip cards offer advanced security for in-store purchases by making every transaction unique, which makes it more difficult to counterfeit or copy. If the card data and one-time code are stolen, that information cannot be used to commit fraud or create counterfeit cards.
                         
            ",Queries
Will chip cards allow others to track my location?,"
            
             No. Chip card technology is not a locator system. The chip on your card is limited to supporting authentication of card data when you make a purchase.
                         
            ",Queries
"Is a chip card the same as contactless payment (for example, PayPass)?","
            
             No. Contactless cards use near-field communication technology (NFC), which has a radio antenna that transmits account information, and work by waving or tapping your card in front of a device. Chip cards must be inserted face-up into a chip-enabled merchant terminal that allows the chip to make contact with the reader to authorize and complete a transaction.
                         
            ",contactless
Do I need a sleeve to protect information from being stolen off the chip?,"
            
             You do not need a sleeve with your Fifth Third credit card. Information is transmitted to a card reader in a highly secure manner. There are also robust fraud detection systems deployed to spot suspicious activity and stop fraud in its tracks.
                         
            ",Queries
Is my personal information vulnerable if the chip card is lost or stolen?,"
            
             No. The chip only contains information used to process transactions at a merchant terminal or ATM. No personal information is stored on the chip. As always, contact us immediately if your card is lost or stolen.
                         
            ",Queries
What does a chip-enabled terminal look like?,"
            
             Chip-enabled terminals have all of the features you are used to with a payment terminal, with the addition of a slot to insert your card. The slot is typically located at the bottom or the top of the payment terminal.
                         
            ",Queries
Why do I need a PIN for my credit card?,"
            
             Some chip terminals may prompt you for a PIN, so it is important for you to set up a PIN that you will remember. If you are a new credit card customer you are prompted to select a PIN at the time you activate your card. If your card is a replacement you already have a PIN. If you don't remember your PIN and would like to change it call the customer service number listed on the back of your card, visit your local Banking Center or click on the Service Center in Online Banking.
                         
            ",PIN
What happens if I forget my PIN?,"
            
             Call the customer service number listed on the back of your card, visit your local Banking Center, or click on the Service Center in Online Banking.
                         
            ",PIN
How do I use the chip card for online purchases?,"
            
             For online purchases you will continue to use the card as you do today.
                         
            ",online
Can I use my chip card outside of the U.S.?,"
            
             Yes. Chip technology is already widely used in Canada, Mexico, the United Kingdom and nearly 130 other countries worldwide. Chip cards will make it easier to make purchases when you travel internationally.
                         
            ",Queries
What if my chip card doesn't work at an unattended terminal when I am in another country?,"
            
             Some card terminals at unattended locations (such as public transportation kiosks and gas pumps) may not be compatible with the chip card. You should plan for an alternative payment method, such as local currency when traveling outside the U.S.
                         
            ",Queries
Who do I contact if I have more questions?,"
            
             Stop in to your local Financial Center, or call Customer Service at 1-800-972-3030 with additional questions about Fifth Third chip cards.
                         
            ",Bank & Customer Care
What is Payment Deferral for ADCB Credit Card?,"Payment Deferral feature on ADCB Credit Card allows cardholders to defer their credit card payment by a fixed period. During that period, customer is not required to pay minimum amount due and is not levied late payment fee. ","Bills,Statement & Limit"
"Do I have to apply for Payment Deferral before or after my Credit Card Statement of Account is created for the month?
","You can apply for Payment Deferral at any time. However, the request will be processed for the next upcoming billing cycle.

","Bills,Statement & Limit"
Will there be any fees or finance charges levied to my card if I opt for Payment Deferral?,If you opt for Payment Deferral then following will apply:,Charges & Fees
Am I eligible for Payment Deferral on ADCB Credit Card?,All credit card customers who have completed 6 months from credit card account open date are eligible for Payment Deferral provided ADCB Credit Card is active and not blocked. Customer can enroll for Payment Deferral only once in 6 months.,"Bills,Statement & Limit"
Which type of ADCB Credit Cards are eligible for Payment Deferral?,"All ADCB credit cards except for Corporate, Purchasing and Business Credit Card","Bills,Statement & Limit"
"What happens if I have 2 primary credit cards?
",You need to apply for Payment Deferral request for each credit card separately. Eligibility criteria will be same for both the cards,Queries
Will I be automatically be enrolled into Payment Deferral?,"No, you will need to contact ADCB contact center to enroll into Payment Deferral.","Bills,Statement & Limit"
Is there any documentation required to apply for Payment Deferral?,There is no additional documentation required.,"Bills,Statement & Limit"
"How will I know if I have successful enrolled into Payment Deferral?
",You will receive an SMS from ADCB on successful enrolment into Payment Deferral for the specified month.,"Bills,Statement & Limit"
"Can I cancel my Payment Deferral request?
","Yes, you can cancel the request before the Statement of Account is generated for the specified month.","Bills,Statement & Limit"
"Will the AutoPay facility on my Credit Card be stopped during Payment Deferral period?
",AutoPay will be deactivated during Payment Deferral period and automatically activated after payment deferral period is over.,"Bills,Statement & Limit"
"Will Credit Shield Insurance on my Credit Card be valid during Payment Deferral?
","Yes, the insurance fee will be charged during the Payment Deferral period and the insurance cover will be valid.","Bills,Statement & Limit"
Will I be required to pay for monthly instalments for Balance Transfer and/or Credit Card Loan and/or Personal Payment plans?,"The monthly instalments for these services will be billed as usual in the statement cycle, even during the Payment Deferral period. You may choose to pay or defer payment until the payment deferral period is over. Should you choose to defer, the instalments billed during the payment deferral period will become part of retail outstanding and accrue retail finance charges.","Bills,Statement & Limit"
"Can I apply for early closure of any monthly instalment plan during the Payment Deferral period?

","Yes, you can cancel any existing instalment plans on your Credit Card. The cancellation will appear in the subsequent Statement of Account after the Payment Deferral period.","Bills,Statement & Limit"
"Can I change my billing date during Payment Deferral period?


","Yes, however it is not advisable to make any changes to ensure smooth processing.","Bills,Statement & Limit"
"Can I apply for Credit Limit Increase or Decrease during Payment Deferral period?


",Yes.,"Bills,Statement & Limit"
"What happens if I pay my Total Amount Due payment during Payment Deferral period?


",You can make a payment to your credit card at any time. This payment amount will be adjusted and will reduce your outstanding on the credit card in the subsequent month.,"Bills,Statement & Limit"
"Will my credit history be affected if I apply for Payment Deferral?


",No.,"Bills,Statement & Limit"
"Can I cancel my credit card during Payment Deferral period?


","Yes, however the total outstanding due on your credit card should be paid before cancelling and closing the card account.","Bills,Statement & Limit"
What is Interest?,Interest is the charge for ‘borrowing’ money to use your credit card.  There is typically a different rate of interest charged for purchases and for cash transactions.,Interest & APR
How do I avoid paying interest?,"Typically interest will not be charged if you pay off your full balance on time, each month. ",Interest & APR
What is the interest rate on my credit card?,Your monthly interest rate is available on your statement. For details of where this is displayed on your statement please see a sample statement. The purchase interest rates on some of our credit card products are also available here. If you need more information please contact us on 01-6685500.,Interest & APR
What is the Interest Free period?,"This is the amount of days which are interest free once you pay your balance in full each month. The interest free period on our Click, Platinum, Student and ‘be’ credit cards is up to 56 days. For other products please contact us on 01-6685500.",Interest & APR
What is the Purchase Finance charge I see on my Internet Banking?,Purchase Finance is the interest charged on purchases made on your credit card.,Charges & Fees
